step,train_loss,val_loss,perplexity
3800,4.8155,5.0335,153.47
3820,4.8086,5.0646,158.32
3840,4.8418,5.0451,155.26
3860,4.8359,5.0339,153.53
3880,4.8452,5.0410,154.62
3900,4.8284,5.0160,150.80
3920,4.8219,5.0174,151.02
3940,4.7823,5.0489,155.85
3960,4.7890,5.0401,154.49
3980,4.8021,5.0283,152.68
4000,4.7984,5.0498,155.99
4020,4.8012,5.0384,154.23
4040,4.7896,5.0280,152.63
4060,4.8104,5.0379,154.15
4080,4.8369,5.0200,151.41
4100,4.7978,5.0135,150.43
4120,4.7697,5.0291,152.79
4140,4.7925,4.9809,145.60
4160,4.7664,5.0279,152.62
4180,4.7813,5.0069,149.44
4200,4.7852,5.0673,158.74
4220,4.7686,5.0400,154.47
4240,4.7612,5.0108,150.02
4260,4.7752,5.0397,154.43
4280,4.7767,5.0185,151.18
4300,4.7533,5.0010,148.55
4320,4.7641,5.0319,153.22
4340,4.7646,5.0143,150.55
4360,4.7239,5.0100,149.91
4380,4.7575,5.0519,156.32
4400,4.7454,5.0067,149.41
4420,4.7687,4.9860,146.35
4440,4.7420,5.0126,150.29
4460,4.7310,5.0039,148.99
4480,4.7364,5.0000,148.42
4500,4.7257,5.0280,152.63
4520,4.7295,4.9875,146.57
4540,4.7418,5.0238,151.99
4560,4.7371,5.0258,152.29
4580,4.7360,5.0046,149.10
4600,4.7250,4.9899,146.92
4620,4.6965,4.9874,146.56
4640,4.7302,4.9881,146.65
4660,4.7416,4.9900,146.94
4680,4.7154,5.0079,149.59
4700,4.6808,5.0224,151.78
4720,4.7113,5.0001,148.43
4740,4.7187,4.9647,143.26
4760,4.6864,4.9825,145.83
4780,4.6599,4.9844,146.11
4800,4.7077,4.9718,144.29
4820,4.6759,4.9783,145.23
4840,4.6967,4.9748,144.72
4860,4.6970,4.9933,147.42
4880,4.6973,4.9896,146.87
4900,4.6824,5.0234,151.93
4920,4.6869,4.9970,147.98
4940,4.6882,4.9770,145.04
4960,4.6857,5.0113,150.10
4980,4.6886,4.9744,144.66
5000,4.6847,5.0374,154.07
5020,4.6790,4.9830,145.91
5040,4.6592,4.9683,143.78
5060,4.6862,4.9762,144.93
5080,4.7049,4.9604,142.65
5100,4.6822,4.9627,142.97
5120,4.6442,4.9579,142.29
5140,4.6828,4.9738,144.58
5160,4.6640,4.9776,145.12
5180,4.6725,4.9821,145.77
5200,4.6532,4.9518,141.43
5220,4.6282,4.9737,144.56
5240,4.6295,4.9842,146.09
5260,4.6657,4.9673,143.64
5280,4.6413,4.9749,144.73
5300,4.6557,4.9508,141.28
5320,4.6414,4.9688,143.85
5340,4.6492,4.9361,139.22
5360,4.6363,4.9778,145.15
5380,4.5843,4.9818,145.74
5400,4.6616,4.9406,139.86
5420,4.6020,4.9566,142.11
5440,4.6511,4.9588,142.42
5460,4.6414,4.9560,142.02
5480,4.6471,4.9575,142.24
5500,4.6662,4.9767,145.00
5520,4.6168,4.9832,145.94
5540,4.6319,4.9631,143.03
5560,4.6420,4.9864,146.41
5580,4.6598,4.9722,144.34
5600,4.6301,4.9876,146.58
5620,4.6194,4.9499,141.17
5640,4.6368,4.9456,140.55
5660,4.5962,4.9684,143.79
5680,4.6219,4.9480,140.89
5700,4.6456,4.9636,143.11
5720,4.6287,4.9565,142.09
5740,4.6252,4.9237,137.51
5760,4.6330,4.9539,141.73
5780,4.6018,4.9653,143.35
5800,4.6153,4.9402,139.80
5820,4.6050,4.9167,136.55
5840,4.5964,4.9369,139.34
5860,4.5978,4.9437,140.29
5880,4.5865,4.9490,141.03
5900,4.5935,4.9499,141.16
5920,4.6203,4.9207,137.10
5940,4.6130,4.9736,144.54
5960,4.6261,4.9493,141.08
5980,4.5720,4.9275,138.04
6000,4.6002,4.9261,137.85
6020,4.5732,4.9930,147.38
6040,4.6286,4.9634,143.08
6060,4.5968,4.9417,140.01
6080,4.5715,4.9941,147.53
6100,4.5784,4.9594,142.50
6120,4.5673,4.9257,137.78
6140,4.6127,4.9290,138.25
6160,4.5478,4.9488,141.01
6180,4.5696,4.9358,139.18
6200,4.5925,4.9289,138.22
6220,4.5463,4.9662,143.48
6240,4.5744,4.9006,134.37
6260,4.5835,4.9193,136.91
6280,4.5790,4.9324,138.71
6300,4.5754,4.9466,140.70
6320,4.5675,4.9413,139.95
6340,4.5563,4.9200,137.01
6360,4.5531,4.9362,139.24
6380,4.5726,4.9521,141.47
6400,4.5755,4.9075,135.30
6420,4.5563,4.9561,142.04
6440,4.5671,4.9426,140.14
6460,4.5567,4.9622,142.90
6480,4.5578,4.9276,138.05
6500,4.5643,4.9023,134.61
6520,4.5879,4.9248,137.66
